perm,code,index,shape,"1,3",,"1,3","2,4",,,,,,,,,,,,,
"[1, 2, 3, 4]","[0, 0, 0, 0]",{},[4],0,0,0,0,,,,,,,,,,,,,
"[4, 1, 2, 3]","[1, 1, 1, 1]",{1: 1},[4],1,1,2,1,,,,,,,,,,,,,
"[1, 2, 4, 3]","[0, 0, 1, 1]",{1: 1},"[2, 2]",2,1,1,1,,,,,,,,,,,,,
"[1, 3, 2, 4]","[0, 1, 1, 0]",{1: 1},"[2, 2]",2,1,1,1,,,,,,,,,,,,,
"[2, 1, 3, 4]","[1, 1, 0, 0]",{1: 1},"[2, 2]",2,1,1,1,,,"[1, 3, 4, 2]",1,3,4,2,,1,1,3,4,2
"[1, 3, 4, 2]","[0, 1, 0, 1]",{1: 1},"[2, 2]",2,1,1,2,,,7,2,5,8,11,,9,2,5,8,11
"[2, 3, 4, 1]","[1, 0, 0, 1]",{1: 1},"[2, 2]",2,1,1,2,,,,1,2,3,4,,,1,2,3,4
"[2, 3, 1, 4]","[1, 0, 1, 0]",{1: 1},"[2, 2]",2,1,2,1,,,4,,,X,,,1,X,,,
"[1, 4, 2, 3]","[0, 1, 1, 1]",{1: 1},"[3, 1]",3,1,1,2,,,3,,X,,,,2,,,,X
"[3, 1, 2, 4]","[1, 1, 1, 0]",{1: 1},"[3, 1]",3,1,2,1,,,2,,,,X,,3,,X,,
"[2, 4, 1, 3]","[1, 0, 1, 1]",{1: 1},"[3, 1]",3,1,2,2,,,1,X,,,,,4,,,X,
"[3, 4, 1, 2]","[1, 1, 0, 1]",{1: 1},"[3, 1]",3,1,2,2,,,,1,2,3,4,,,1,2,3,4
"[1, 4, 3, 2]","[0, 1, 1, 1]",{1: 2},"[3, 1]",4,2,2,3,,,,,,,,,,,,,
"[2, 4, 3, 1]","[1, 0, 1, 1]",{1: 2},"[3, 1]",4,2,2,3,,1,,,,,,,,,,,
"[3, 2, 1, 4]","[1, 1, 1, 0]",{1: 2},"[3, 1]",4,2,3,2,,2,1,,,,,,,,,,
"[3, 4, 2, 1]","[1, 1, 0, 1]",{1: 2},"[3, 1]",4,2,3,3,,2,2,,,,,,,,,,
"[2, 1, 4, 3]","[2, 2, 1, 1]","{1: 1, 2: 1}","[2, 2]",5,2,2,2,,2,1,,,,,,,,,,
"[3, 1, 4, 2]","[2, 1, 2, 1]","{1: 1, 2: 1}","[2, 2]",5,2,2,2,,1,,,,,,,,,,,
"[3, 2, 4, 1]","[1, 2, 2, 1]","{1: 1, 2: 1}","[2, 2]",5,2,2,3,,8,16,,,,,,,,,,
"[4, 1, 3, 2]","[2, 1, 1, 2]","{1: 1, 2: 1}","[2, 2]",5,2,3,2,,,,,,,,,,,,,
"[4, 2, 1, 3]","[1, 1, 2, 2]","{1: 1, 2: 1}","[2, 2]",5,2,3,2,,,,,,,,,,,,,
"[4, 2, 3, 1]","[1, 2, 1, 2]","{1: 1, 2: 1}","[2, 2]",5,2,3,3,,,,,,,,,,,,,
"[4, 3, 1, 2]","[1, 1, 1, 1]",{1: 2},[4],6,2,3,3,,,,,,,,,,,,,
"[4, 3, 2, 1]","[1, 1, 1, 1]",{1: 3},[4],7,3,4,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,1,,,,,,,,,,,,
,,,,,,,1,6,,,,,,,,,,,,
,,,,,,,2,10,,,,,,,,,,,,
,,,,,,,3,6,,,,,,,,,,,,
,,,,,,,4,1,,,,,,,,,,,,
